x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,yn
157.013,27.125,146.621,58.933,128.435,58.936,136.242,103.761,168.685,119.994,163.498,58.931,173.266,92.073,179.121,119.36,157.66,123.263,144.022,126.497,184.938,148.561,192.733,213.518,169.997,121.928,209.629,142.059,212.224,197.935,149.881,23.199,0
162.865,26.488,173.902,57.663,157.645,58.292,146.628,92.094,140.782,118.046,190.145,57.648,184.925,101.803,151.166,118.701,164.147,123.261,151.82,121.297,109.61,141.418,106.381,197.933,175.85,127.139,133.018,148.56,127.122,212.228,160.277,22.581,0
163.48,27.133,173.892,58.301,157.003,57.661,145.969,91.421,140.141,117.409,190.154,58.931,181.057,103.117,149.866,120.006,163.491,123.246,149.884,120.645,108.97,141.435,106.375,196.631,174.571,127.149,132.987,148.578,126.491,212.871,161.557,22.591,0
157.016,28.412,145.987,58.927,127.817,58.958,137.517,105.062,168.701,120.647,163.494,57.657,173.895,92.072,179.104,118.71,158.298,123.889,144.673,127.121,184.959,148.554,194.022,213.524,170.01,121.926,209.623,142.063,212.22,196.633,149.887,23.863,0
162.86,27.133,173.899,58.298,157.014,57.641,145.336,90.795,140.788,116.776,190.78,58.942,183.652,101.826,149.869,120.656,162.857,123.889,149.219,121.292,108.95,141.429,106.383,196.65,174.574,127.15,133.626,148.589,125.848,214.167,160.267,22.59,0
157.025,27.77,146.619,58.94,127.816,59.584,137.52,103.77,168.695,120.659,163.514,57.649,173.895,91.421,179.079,118.053,158.304,124.545,144.044,127.148,184.941,148.549,192.733,214.171,170.648,121.947,209.618,140.776,212.224,196.636,150.527,23.233,0
163.489,27.783,173.883,58.309,156.38,57.648,145.967,91.423,140.138,116.113,190.149,58.959,184.309,102.477,149.881,118.693,162.868,123.252,149.229,120.002,108.963,142.067,106.385,195.998,174.572,127.154,133.015,148.559,126.502,212.221,160.907,23.205,0
157.011,27.778,146.615,58.953,127.818,59.591,137.517,104.419,168.677,119.35,163.508,58.291,173.895,92.082,179.725,117.416,157.673,123.267,144.048,127.141,184.939,148.556,193.392,213.515,169.38,121.284,209.615,142.081,211.597,197.288,149.883,23.228,0
163.5,27.786,173.881,58.294,156.381,57.653,144.67,90.796,131.037,116.722,190.142,58.93,184.307,101.798,154.413,124.536,161.56,125.203,148.57,121.96,110.255,140.793,106.389,197.93,174.56,127.792,132.982,148.578,127.109,211.568,162.21,23.237,0
156.381,27.786,147.255,58.934,128.45,58.946,136.238,102.476,164.195,125.184,163.508,58.929,173.908,91.43,189.469,116.733,156.374,124.55,143.396,127.791,185.589,148.596,193.388,214.804,170.006,121.955,209.614,141.423,211.587,197.934,149.249,23.249,0
163.478,27.788,173.894,58.291,157.644,57.014,144.055,91.434,129.748,116.723,190.148,58.929,184.921,101.83,155.064,124.55,160.922,123.254,148.566,120.658,108.304,141.419,106.377,197.278,174.539,127.14,132.984,148.603,127.121,211.569,161.562,23.232,0
